Identification,Condition,Healthy,Scab,Anthracnose
Avocado 0729,Healthy,1,0,0
Avocado 0730,Healthy,1,0,0
Avocado 0731,Healthy,1,0,0
Avocado 0732,Scab,0,1,0
Avocado 0733,Healthy,1,0,0
Avocado 0734,Healthy,1,0,0
Avocado 0735,Healthy,1,0,0
Avocado 0736,Healthy,1,0,0
Avocado 0737,Healthy,1,0,0
Avocado 0738,Healthy,1,0,0
Avocado 0739,Scab,0,1,0
Avocado 0740,Healthy,1,0,0
Avocado 0741,Healthy,1,0,0
Avocado 0742,Healthy,1,0,0
Avocado 0743,Healthy,1,0,0
Avocado 0744,Scab,0,1,0
Avocado 0745,Scab,0,1,0
Avocado 0746,Scab,0,1,0
Avocado 0747,Scab,0,1,0
Avocado 0748,Anthracnose,0,0,1
Avocado 0749,Scab,0,1,0
Avocado 0750,Healthy,1,0,0
Avocado 0751,Healthy,1,0,0
Avocado 0752,Healthy,1,0,0
Avocado 0753,Healthy,1,0,0
Avocado 0754,Healthy,1,0,0
Avocado 0755,Healthy,1,0,0
Avocado 0756,Healthy,1,0,0
Avocado 0757,Healthy,1,0,0
Avocado 0758,Healthy,1,0,0
Avocado 0759,Healthy,1,0,0
Avocado 0760,Healthy,1,0,0
Avocado 0761,Healthy,1,0,0
Avocado 0762,Scab,0,1,0
Avocado 0763,Healthy,1,0,0
Avocado 0764,Healthy,1,0,0
Avocado 0765,Scab,0,1,0
Avocado 0766,Healthy,1,0,0
Avocado 0767,Scab,0,1,0
Avocado 0768,Healthy,1,0,0
Avocado 0769,Healthy,1,0,0
Avocado 0770,Healthy,1,0,0
Avocado 0771,Healthy,1,0,0
Avocado 0772,Healthy,1,0,0
Avocado 0773,Healthy,1,0,0
Avocado 0774,Healthy,1,0,0
Avocado 0775,Healthy,1,0,0
Avocado 0776,Scab,0,1,0
Avocado 0777,Healthy,1,0,0
Avocado 0778,Scab,0,1,0
Avocado 0779,Healthy,1,0,0
Avocado 0780,Scab,0,1,0
Avocado 0781,Healthy,1,0,0
Avocado 0782,Scab,0,1,0
Avocado 0783,Healthy,1,0,0
Avocado 0784,Scab,0,1,0
Avocado 0785,Anthracnose,0,0,1
Avocado 0786,Healthy,1,0,0
Avocado 0787,Healthy,1,0,0
Avocado 0788,Scab,0,1,0
Avocado 0789,Scab,0,1,0
Avocado 0790,Scab,0,1,0
Avocado 0791,Scab,0,1,0
Avocado 0792,Healthy,1,0,0
Avocado 0793,Scab,0,1,0
Avocado 0794,Anthracnose,0,0,1
Avocado 0795,Anthracnose,0,0,1
Avocado 0796,Scab,0,1,0
Avocado 0797,Healthy,1,0,0
Avocado 0798,Healthy,1,0,0
Avocado 0799,Healthy,1,0,0
Avocado 0800,Healthy,1,0,0
Avocado 0801,Healthy,1,0,0
Avocado 0802,Healthy,1,0,0
Avocado 0803,Healthy,1,0,0
Avocado 0804,Healthy,1,0,0
Avocado 0805,Anthracnose,0,0,1
Avocado 0806,Scab,0,1,0
Avocado 0807,Scab,0,1,0
Avocado 0808,Scab,0,1,0
Avocado 0809,Healthy,1,0,0
Avocado 0810,Healthy,1,0,0
Avocado 0811,Healthy,1,0,0
Avocado 0812,Healthy,1,0,0
Avocado 0813,Healthy,1,0,0
Avocado 0814,Healthy,1,0,0
Avocado 0815,Anthracnose,0,0,1
Avocado 0816,Anthracnose,0,0,1
Avocado 0817,Anthracnose,0,0,1
Avocado 0818,Scab,0,1,0
Avocado 0819,Anthracnose,0,0,1
Avocado 0820,Anthracnose,0,0,1
Avocado 0821,Healthy,1,0,0
Avocado 0822,Scab,0,1,0
Avocado 0823,Healthy,1,0,0
Avocado 0824,Scab,0,1,0
Avocado 0825,Anthracnose,0,0,1
Avocado 0826,Anthracnose,0,0,1
Avocado 0827,Anthracnose,0,0,1
Avocado 0828,Anthracnose,0,0,1
Avocado 0829,Anthracnose,0,0,1
Avocado 0830,Healthy,1,0,0
Avocado 0831,Healthy,1,0,0
Avocado 0832,Scab,0,1,0
Avocado 0833,Anthracnose,0,0,1
Avocado 0834,Healthy,1,0,0
Avocado 0835,Healthy,1,0,0
Avocado 0836,Healthy,1,0,0
Avocado 0837,Healthy,1,0,0
Avocado 0838,Anthracnose,0,0,1
Avocado 0839,Scab,0,1,0
Avocado 0840,Healthy,1,0,0
Avocado 0841,Healthy,1,0,0
Avocado 0842,Healthy,1,0,0
Avocado 0843,Anthracnose,0,0,1
Avocado 0844,Healthy,1,0,0
Avocado 0845,Healthy,1,0,0
Avocado 0846,Healthy,1,0,0
Avocado 0847,Healthy,1,0,0
Avocado 0848,Healthy,1,0,0
Avocado 0849,Healthy,1,0,0
Avocado 0850,Healthy,1,0,0
Avocado 0851,Healthy,1,0,0
Avocado 0852,Scab,0,1,0
Avocado 0853,Healthy,1,0,0
Avocado 0854,Anthracnose,0,0,1
Avocado 0855,Healthy,1,0,0
Avocado 0856,Healthy,1,0,0
Avocado 0857,Healthy,1,0,0
Avocado 0858,Healthy,1,0,0
Avocado 0859,Healthy,1,0,0
Avocado 0860,Healthy,1,0,0
Avocado 0861,Healthy,1,0,0
Avocado 0862,Anthracnose,0,0,1
Avocado 0863,Healthy,1,0,0
Avocado 0864,Healthy,1,0,0
Avocado 0865,Healthy,1,0,0
Avocado 0866,Healthy,1,0,0
Avocado 0867,Healthy,1,0,0
Avocado 0868,Healthy,1,0,0
Avocado 0869,Healthy,1,0,0
Avocado 0870,Healthy,1,0,0
Avocado 0871,Healthy,1,0,0
Avocado 0872,Scab,0,1,0
Avocado 0873,Anthracnose,0,0,1
Avocado 0874,Healthy,1,0,0
Avocado 0875,Healthy,1,0,0
Avocado 0876,Healthy,1,0,0
Avocado 0877,Healthy,1,0,0
Avocado 0878,Healthy,1,0,0
Avocado 0879,Scab,0,1,0
Avocado 0880,Healthy,1,0,0
Avocado 0881,Healthy,1,0,0
Avocado 0882,Scab,0,1,0
Avocado 0883,Scab,0,1,0
Avocado 0884,Anthracnose,0,0,1
Avocado 0885,Healthy,1,0,0
Avocado 0886,Healthy,1,0,0
Avocado 0887,Healthy,1,0,0
Avocado 0888,Healthy,1,0,0
Avocado 0889,Scab,0,1,0
Avocado 0890,Healthy,1,0,0
Avocado 0891,Anthracnose,0,0,1
Avocado 0892,Scab,0,1,0
Avocado 0893,Healthy,1,0,0
Avocado 0894,Healthy,1,0,0
Avocado 0895,Healthy,1,0,0
Avocado 0896,Healthy,1,0,0
Avocado 0897,Healthy,1,0,0
Avocado 0898,Healthy,1,0,0
Avocado 0899,Healthy,1,0,0
Avocado 0900,Scab,0,1,0
Avocado 0901,Anthracnose,0,0,1
Avocado 0902,Healthy,1,0,0
Avocado 0903,Healthy,1,0,0
Avocado 0904,Anthracnose,0,0,1
Avocado 0905,Scab,0,1,0
Avocado 0906,Healthy,1,0,0
Avocado 0907,Anthracnose,0,0,1
Avocado 0908,Healthy,1,0,0
Avocado 0909,Healthy,1,0,0
Avocado 0910,Anthracnose,0,0,1
Avocado 0911,Anthracnose,0,0,1
Avocado 0912,Healthy,1,0,0
Avocado 0913,Healthy,1,0,0
Avocado 0914,Healthy,1,0,0
Avocado 0915,Healthy,1,0,0
Avocado 0916,Scab,0,1,0
Avocado 0917,Scab,0,1,0
Avocado 0918,Scab,0,1,0
Avocado 0919,Scab,0,1,0
Avocado 0920,Scab,0,1,0
Avocado 0921,Scab,0,1,0
Avocado 0922,Healthy,1,0,0
Avocado 0923,Healthy,1,0,0
Avocado 0924,Anthracnose,0,0,1
Avocado 0925,Anthracnose,0,0,1
Avocado 0926,Anthracnose,0,0,1
Avocado 0927,Anthracnose,0,0,1
Avocado 0928,Healthy,1,0,0
Avocado 0929,Healthy,1,0,0
Avocado 0930,Anthracnose,0,0,1
Avocado 0931,Anthracnose,0,0,1
Avocado 0932,Healthy,1,0,0
Avocado 0933,Healthy,1,0,0
Avocado 0934,Healthy,1,0,0
Avocado 0935,Healthy,1,0,0
Avocado 0936,Healthy,1,0,0
Avocado 0937,Healthy,1,0,0
Avocado 0938,Healthy,1,0,0
Avocado 0939,Healthy,1,0,0
Avocado 0940,Healthy,1,0,0
Avocado 0941,Anthracnose,0,0,1
Avocado 0942,Healthy,1,0,0
Avocado 0943,Healthy,1,0,0
Avocado 0944,Anthracnose,0,0,1
Avocado 0945,Healthy,1,0,0
Avocado 0946,Healthy,1,0,0
Avocado 0947,Scab,0,1,0
Avocado 0948,Healthy,1,0,0
Avocado 0949,Healthy,1,0,0
Avocado 0950,Anthracnose,0,0,1
Avocado 0951,Anthracnose,0,0,1
Avocado 0952,Anthracnose,0,0,1
Avocado 0953,Anthracnose,0,0,1
Avocado 0954,Anthracnose,0,0,1
Avocado 0955,Scab,0,1,0
Avocado 0956,Scab,0,1,0
Avocado 0957,Scab,0,1,0
Avocado 0958,Healthy,1,0,0
Avocado 0959,Healthy,1,0,0
Avocado 0960,Anthracnose,0,0,1
Avocado 0961,Scab,0,1,0
Avocado 0962,Healthy,1,0,0
Avocado 0963,Anthracnose,0,0,1
Avocado 0964,Healthy,1,0,0
Avocado 0965,Anthracnose,0,0,1
Avocado 0966,Anthracnose,0,0,1
Avocado 0967,Scab,0,1,0
Avocado 0968,Scab,0,1,0
Avocado 0969,Healthy,1,0,0
Avocado 0970,Anthracnose,0,0,1
Avocado 0971,Anthracnose,0,0,1
Avocado 0972,Healthy,1,0,0
Avocado 0973,Healthy,1,0,0
Avocado 0974,Scab,0,1,0
Avocado 0975,Scab,0,1,0
Avocado 0976,Healthy,1,0,0
Avocado 0977,Anthracnose,0,0,1
Avocado 0978,Healthy,1,0,0
Avocado 0979,Healthy,1,0,0
Avocado 0980,Anthracnose,0,0,1
Avocado 0981,Healthy,1,0,0
Avocado 0982,Healthy,1,0,0
Avocado 0983,Scab,0,1,0
Avocado 0984,Anthracnose,0,0,1
Avocado 0985,Healthy,1,0,0
Avocado 0986,Healthy,1,0,0
Avocado 0987,Anthracnose,0,0,1
Avocado 0988,Anthracnose,0,0,1
Avocado 0989,Anthracnose,0,0,1
Avocado 0990,Scab,0,1,0
Avocado 0991,Anthracnose,0,0,1
Avocado 0992,Healthy,1,0,0
Avocado 0993,Healthy,1,0,0
Avocado 0994,Healthy,1,0,0
Avocado 0995,Healthy,1,0,0
Avocado 0996,Healthy,1,0,0
Avocado 0997,Healthy,1,0,0
Avocado 0998,Healthy,1,0,0
Avocado 0999,Healthy,1,0,0
Avocado 1000,Healthy,1,0,0
Avocado 1001,Scab,0,1,0
Avocado 1002,Scab,0,1,0
Avocado 1003,Anthracnose,0,0,1
Avocado 1004,Anthracnose,0,0,1
Avocado 1005,Healthy,1,0,0
Avocado 1006,Healthy,1,0,0
Avocado 1007,Healthy,1,0,0
Avocado 1008,Healthy,1,0,0
Avocado 1009,Healthy,1,0,0
Avocado 1010,Healthy,1,0,0
Avocado 1011,Healthy,1,0,0
Avocado 1012,Healthy,1,0,0
Avocado 1013,Scab,0,1,0
Avocado 1014,Scab,0,1,0
Avocado 1015,Anthracnose,0,0,1
Avocado 1016,Healthy,1,0,0
Avocado 1017,Healthy,1,0,0
Avocado 1018,Anthracnose,0,0,1
Avocado 1019,Anthracnose,0,0,1
Avocado 1020,Anthracnose,0,0,1
Avocado 1021,Healthy,1,0,0
Avocado 1022,Healthy,1,0,0
Avocado 1023,Anthracnose,0,0,1
Avocado 1024,Anthracnose,0,0,1
Avocado 1025,Healthy,1,0,0
Avocado 1026,Scab,0,1,0
Avocado 1027,Scab,0,1,0
Avocado 1028,Healthy,1,0,0
Avocado 1029,Healthy,1,0,0
Avocado 1030,Healthy,1,0,0
Avocado 1031,Healthy,1,0,0
Avocado 1032,Healthy,1,0,0
Avocado 1033,Healthy,1,0,0
Avocado 1034,Anthracnose,0,0,1
Avocado 1035,Anthracnose,0,0,1
Avocado 1036,Healthy,1,0,0
Avocado 1037,Healthy,1,0,0
Avocado 1038,Anthracnose,0,0,1
Avocado 1039,Anthracnose,0,0,1
Avocado 1040,Anthracnose,0,0,1
Avocado 1041,Anthracnose,0,0,1
Avocado 1042,Anthracnose,0,0,1
Avocado 1043,Anthracnose,0,0,1
Avocado 1044,Anthracnose,0,0,1
Avocado 1045,Scab,0,1,0
Avocado 1046,Healthy,1,0,0
Avocado 1047,Healthy,1,0,0
Avocado 1048,Anthracnose,0,0,1
Avocado 1049,Scab,0,1,0
Avocado 1050,Scab,0,1,0
Avocado 1051,Anthracnose,0,0,1
Avocado 1052,Anthracnose,0,0,1
Avocado 1053,Anthracnose,0,0,1
Avocado 1054,Healthy,1,0,0
Avocado 1055,Healthy,1,0,0
Avocado 1056,Healthy,1,0,0
Avocado 1057,Healthy,1,0,0
Avocado 1058,Healthy,1,0,0
Avocado 1059,Anthracnose,0,0,1
Avocado 1060,Anthracnose,0,0,1
Avocado 1061,Anthracnose,0,0,1
Avocado 1062,Scab,0,1,0
Avocado 1063,Healthy,1,0,0
Avocado 1064,Healthy,1,0,0
Avocado 1065,Anthracnose,0,0,1
Avocado 1066,Healthy,1,0,0
Avocado 1067,Healthy,1,0,0
Avocado 1068,Scab,0,1,0
Avocado 1069,Anthracnose,0,0,1
Avocado 1070,Anthracnose,0,0,1
Avocado 1071,Anthracnose,0,0,1
Avocado 1072,Anthracnose,0,0,1
Avocado 1073,Anthracnose,0,0,1
Avocado 1074,Anthracnose,0,0,1
Avocado 1075,Healthy,1,0,0
Avocado 1076,Healthy,1,0,0
Avocado 1077,Anthracnose,0,0,1
Avocado 1078,Anthracnose,0,0,1
Avocado 1079,Healthy,1,0,0
Avocado 1080,Anthracnose,0,0,1
Avocado 1081,Healthy,1,0,0
Avocado 1082,Healthy,1,0,0
Avocado 1083,Healthy,1,0,0
Avocado 1084,Healthy,1,0,0
Avocado 1085,Anthracnose,0,0,1
Avocado 1086,Anthracnose,0,0,1
Avocado 1087,Healthy,1,0,0
Avocado 1088,Healthy,1,0,0
Avocado 1089,Healthy,1,0,0
Avocado 1090,Healthy,1,0,0
Avocado 1091,Healthy,1,0,0
Avocado 1092,Anthracnose,0,0,1
Avocado 1093,Anthracnose,0,0,1
Avocado 1094,Anthracnose,0,0,1
Avocado 1095,Scab,0,1,0
Avocado 1096,Scab,0,1,0
Avocado 1097,Scab,0,1,0
Avocado 1098,Healthy,1,0,0
Avocado 1099,Healthy,1,0,0
Avocado 1100,Healthy,1,0,0
Avocado 1101,Scab,0,1,0
Avocado 1102,Scab,0,1,0
Avocado 1103,Scab,0,1,0
Avocado 1104,Scab,0,1,0
Avocado 1105,Anthracnose,0,0,1
Avocado 1106,Anthracnose,0,0,1
Avocado 1107,Anthracnose,0,0,1
Avocado 1108,Anthracnose,0,0,1
Avocado 1109,Healthy,1,0,0
Avocado 1110,Healthy,1,0,0
Avocado 1111,Healthy,1,0,0
Avocado 1112,Healthy,1,0,0
Avocado 1113,Scab,0,1,0
Avocado 1114,Anthracnose,0,0,1
Avocado 1115,Anthracnose,0,0,1
Avocado 1116,Anthracnose,0,0,1
Avocado 1117,Healthy,1,0,0
Avocado 1118,Healthy,1,0,0
Avocado 1119,Anthracnose,0,0,1
Avocado 1120,Healthy,1,0,0
Avocado 1121,Anthracnose,0,0,1
Avocado 1122,Anthracnose,0,0,1
Avocado 1123,Healthy,1,0,0
Avocado 1124,Healthy,1,0,0
Avocado 1125,Healthy,1,0,0
Avocado 1126,Anthracnose,0,0,1
Avocado 1127,Anthracnose,0,0,1
Avocado 1128,Anthracnose,0,0,1
Avocado 1129,Healthy,1,0,0
Avocado 1130,Anthracnose,0,0,1
Avocado 1131,Healthy,1,0,0
Avocado 1132,Healthy,1,0,0
Avocado 1133,Healthy,1,0,0
Avocado 1134,Healthy,1,0,0
Avocado 1135,Scab,0,1,0
Avocado 1136,Healthy,1,0,0
Avocado 1137,Scab,0,1,0
Avocado 1138,Anthracnose,0,0,1
Avocado 1139,Scab,0,1,0
Avocado 1140,Scab,0,1,0
Avocado 1141,Healthy,1,0,0
Avocado 1142,Scab,0,1,0
Avocado 1143,Anthracnose,0,0,1
Avocado 1144,Anthracnose,0,0,1
Avocado 1145,Scab,0,1,0
Avocado 1146,Scab,0,1,0
Avocado 1147,Scab,0,1,0
Avocado 1148,Scab,0,1,0
Avocado 1149,Scab,0,1,0
Avocado 1150,Anthracnose,0,0,1
Avocado 1151,Anthracnose,0,0,1
Avocado 1152,Anthracnose,0,0,1
Avocado 1153,Anthracnose,0,0,1
Avocado 1154,Anthracnose,0,0,1
Avocado 1155,Anthracnose,0,0,1
Avocado 1156,Anthracnose,0,0,1
Avocado 1157,Scab,0,1,0
Avocado 1158,Scab,0,1,0
Avocado 1159,Scab,0,1,0
Avocado 1160,Scab,0,1,0
Avocado 1161,Scab,0,1,0
Avocado 1162,Scab,0,1,0
Avocado 1163,Scab,0,1,0
Avocado 1164,Scab,0,1,0
Avocado 1165,Scab,0,1,0
Avocado 1166,Scab,0,1,0
Avocado 1167,Scab,0,1,0
Avocado 1168,Scab,0,1,0
Avocado 1169,Scab,0,1,0
Avocado 1170,Scab,0,1,0
Avocado 1171,Scab,0,1,0
Avocado 1172,Scab,0,1,0
Avocado 1173,Scab,0,1,0
Avocado 1174,Anthracnose,0,0,1
Avocado 1175,Scab,0,1,0
Avocado 1176,Healthy,1,0,0
Avocado 1177,Scab,0,1,0
Avocado 1178,Scab,0,1,0
Avocado 1179,Scab,0,1,0
Avocado 1180,Anthracnose,0,0,1
Avocado 1181,Anthracnose,0,0,1
Avocado 1182,Anthracnose,0,0,1
Avocado 1183,Anthracnose,0,0,1
Avocado 1184,Anthracnose,0,0,1
Avocado 1185,Anthracnose,0,0,1
Avocado 1186,Anthracnose,0,0,1
Avocado 1187,Scab,0,1,0
Avocado 1188,Scab,0,1,0
Avocado 1189,Scab,0,1,0
Avocado 1190,Scab,0,1,0
Avocado 1191,Scab,0,1,0
Avocado 1192,Scab,0,1,0
Avocado 1193,Scab,0,1,0
Avocado 1194,Scab,0,1,0
Avocado 1195,Scab,0,1,0
Avocado 1196,Scab,0,1,0
Avocado 1197,Scab,0,1,0
Avocado 1198,Anthracnose,0,0,1
Avocado 1199,Anthracnose,0,0,1
Avocado 1200,Scab,0,1,0
Avocado 1201,Scab,0,1,0
Avocado 1202,Scab,0,1,0
Avocado 1203,Scab,0,1,0
Avocado 1204,Anthracnose,0,0,1
Avocado 1205,Scab,0,1,0
Avocado 1206,Healthy,1,0,0
Avocado 1207,Scab,0,1,0
Avocado 1208,Healthy,1,0,0
Avocado 1209,Scab,0,1,0
Avocado 1210,Anthracnose,0,0,1
Avocado 1211,Anthracnose,0,0,1
Avocado 1212,Scab,0,1,0
Avocado 1213,Scab,0,1,0
Avocado 1214,Healthy,1,0,0
Avocado 1215,Healthy,1,0,0
Avocado 1216,Anthracnose,0,0,1
Avocado 1217,Anthracnose,0,0,1
Avocado 1218,Scab,0,1,0
Avocado 1219,Healthy,1,0,0
Avocado 1220,Scab,0,1,0
Avocado 1221,Scab,0,1,0
Avocado 1222,Scab,0,1,0
Avocado 1223,Scab,0,1,0
Avocado 1224,Scab,0,1,0
Avocado 1225,Scab,0,1,0
Avocado 1226,Anthracnose,0,0,1
Avocado 1227,Scab,0,1,0
Avocado 1228,Anthracnose,0,0,1
Avocado 1229,Anthracnose,0,0,1
Avocado 1230,Anthracnose,0,0,1
Avocado 1231,Anthracnose,0,0,1
Avocado 1232,Scab,0,1,0
Avocado 1233,Scab,0,1,0
Avocado 1234,Scab,0,1,0
Avocado 1235,Scab,0,1,0
Avocado 1236,Scab,0,1,0
Avocado 1237,Scab,0,1,0
Avocado 1238,Scab,0,1,0
Avocado 1239,Scab,0,1,0
Avocado 1240,Scab,0,1,0
Avocado 1241,Scab,0,1,0
Avocado 1242,Anthracnose,0,0,1
Avocado 1243,Anthracnose,0,0,1
Avocado 1244,Scab,0,1,0
Avocado 1245,Anthracnose,0,0,1
Avocado 1246,Scab,0,1,0
Avocado 1247,Anthracnose,0,0,1
Avocado 1248,Anthracnose,0,0,1
Avocado 1249,Anthracnose,0,0,1
Avocado 1250,Anthracnose,0,0,1
Avocado 1251,Anthracnose,0,0,1
Avocado 1252,Scab,0,1,0
Avocado 1253,Anthracnose,0,0,1
Avocado 1254,Scab,0,1,0
Avocado 1255,Scab,0,1,0
Avocado 1256,Scab,0,1,0
Avocado 1257,Scab,0,1,0
Avocado 1258,Scab,0,1,0
Avocado 1259,Scab,0,1,0
Avocado 1260,Scab,0,1,0
Avocado 1261,Scab,0,1,0
Avocado 1262,Scab,0,1,0
Avocado 1263,Scab,0,1,0
Avocado 1264,Scab,0,1,0
Avocado 1265,Healthy,1,0,0
Avocado 1266,Scab,0,1,0
Avocado 1267,Scab,0,1,0
Avocado 1268,Healthy,1,0,0
Avocado 1269,Healthy,1,0,0
Avocado 1270,Healthy,1,0,0
Avocado 1271,Healthy,1,0,0
Avocado 1272,Healthy,1,0,0
Avocado 1273,Scab,0,1,0
Avocado 1274,Scab,0,1,0
Avocado 1275,Healthy,1,0,0
Avocado 1276,Healthy,1,0,0
Avocado 1277,Scab,0,1,0
Avocado 1278,Scab,0,1,0
Avocado 1279,Healthy,1,0,0
Avocado 1280,Healthy,1,0,0
Avocado 1281,Healthy,1,0,0
Avocado 1282,Scab,0,1,0
Avocado 1283,Healthy,1,0,0
Avocado 1284,Healthy,1,0,0
Avocado 1285,Scab,0,1,0
Avocado 1286,Scab,0,1,0
Avocado 1287,Scab,0,1,0
Avocado 1288,Scab,0,1,0
Avocado 1289,Scab,0,1,0
Avocado 1290,Scab,0,1,0
Avocado 1291,Healthy,1,0,0
Avocado 1292,Scab,0,1,0
Avocado 1293,Healthy,1,0,0
Avocado 1294,Healthy,1,0,0
Avocado 1295,Healthy,1,0,0
Avocado 1296,Healthy,1,0,0
Avocado 1297,Healthy,1,0,0
Avocado 1298,Healthy,1,0,0
Avocado 1299,Healthy,1,0,0
Avocado 1300,Healthy,1,0,0
Avocado 1301,Scab,0,1,0
Avocado 1302,Healthy,1,0,0
Avocado 1303,Healthy,1,0,0
Avocado 1304,Healthy,1,0,0
Avocado 1305,Healthy,1,0,0
Avocado 1306,Healthy,1,0,0
Avocado 1307,Healthy,1,0,0
Avocado 1308,Scab,0,1,0
Avocado 1309,Healthy,1,0,0
Avocado 1310,Healthy,1,0,0
Avocado 1311,Healthy,1,0,0
Avocado 1312,Healthy,1,0,0
Avocado 1313,Scab,0,1,0
Avocado 1314,Scab,0,1,0
Avocado 1315,Scab,0,1,0
Avocado 1316,Scab,0,1,0
Avocado 1317,Anthracnose,0,0,1
Avocado 1318,Scab,0,1,0
Avocado 1319,Healthy,1,0,0
Avocado 1320,Healthy,1,0,0
Avocado 1321,Healthy,1,0,0
Avocado 1322,Healthy,1,0,0
Avocado 1323,Healthy,1,0,0
Avocado 1324,Healthy,1,0,0
Avocado 1325,Healthy,1,0,0
Avocado 1326,Healthy,1,0,0
Avocado 1327,Healthy,1,0,0
Avocado 1328,Healthy,1,0,0
Avocado 1329,Healthy,1,0,0
Avocado 1330,Healthy,1,0,0
Avocado 1331,Scab,0,1,0
Avocado 1332,Healthy,1,0,0
Avocado 1333,Healthy,1,0,0
Avocado 1334,Scab,0,1,0
Avocado 1335,Healthy,1,0,0
Avocado 1336,Scab,0,1,0
Avocado 1337,Healthy,1,0,0
Avocado 1338,Healthy,1,0,0
Avocado 1339,Healthy,1,0,0
Avocado 1340,Healthy,1,0,0
Avocado 1341,Healthy,1,0,0
Avocado 1342,Healthy,1,0,0
Avocado 1343,Healthy,1,0,0
Avocado 1344,Healthy,1,0,0
Avocado 1345,Scab,0,1,0
Avocado 1346,Healthy,1,0,0
Avocado 1347,Scab,0,1,0
Avocado 1348,Healthy,1,0,0
Avocado 1349,Scab,0,1,0
Avocado 1350,Healthy,1,0,0
Avocado 1351,Scab,0,1,0
Avocado 1352,Healthy,1,0,0
Avocado 1353,Scab,0,1,0
Avocado 1354,Anthracnose,0,0,1
Avocado 1355,Healthy,1,0,0
Avocado 1356,Healthy,1,0,0
Avocado 1357,Scab,0,1,0
Avocado 1358,Scab,0,1,0
Avocado 1359,Scab,0,1,0
Avocado 1360,Scab,0,1,0
Avocado 1361,Healthy,1,0,0
Avocado 1362,Scab,0,1,0
Avocado 1363,Anthracnose,0,0,1
Avocado 1364,Anthracnose,0,0,1
Avocado 1365,Scab,0,1,0
Avocado 1366,Healthy,1,0,0
Avocado 1367,Healthy,1,0,0
Avocado 1368,Healthy,1,0,0
Avocado 1369,Healthy,1,0,0
Avocado 1370,Healthy,1,0,0
Avocado 1371,Healthy,1,0,0
Avocado 1372,Healthy,1,0,0
Avocado 1373,Healthy,1,0,0
Avocado 1374,Anthracnose,0,0,1
Avocado 1375,Scab,0,1,0
Avocado 1376,Scab,0,1,0
Avocado 1377,Scab,0,1,0
Avocado 1378,Healthy,1,0,0
Avocado 1379,Healthy,1,0,0
Avocado 1380,Healthy,1,0,0
Avocado 1381,Healthy,1,0,0
Avocado 1382,Healthy,1,0,0
Avocado 1383,Healthy,1,0,0
Avocado 1384,Anthracnose,0,0,1
Avocado 1385,Anthracnose,0,0,1
Avocado 1386,Anthracnose,0,0,1
Avocado 1387,Scab,0,1,0
Avocado 1388,Anthracnose,0,0,1
Avocado 1389,Anthracnose,0,0,1
Avocado 1390,Healthy,1,0,0
Avocado 1391,Scab,0,1,0
Avocado 1392,Healthy,1,0,0
Avocado 1393,Scab,0,1,0
Avocado 1394,Anthracnose,0,0,1
Avocado 1395,Anthracnose,0,0,1
Avocado 1396,Anthracnose,0,0,1
Avocado 1397,Anthracnose,0,0,1
Avocado 1398,Anthracnose,0,0,1
Avocado 1399,Healthy,1,0,0
Avocado 1400,Healthy,1,0,0
Avocado 1401,Scab,0,1,0
Avocado 1402,Anthracnose,0,0,1
Avocado 1403,Healthy,1,0,0
Avocado 1404,Healthy,1,0,0
Avocado 1405,Healthy,1,0,0
Avocado 1406,Healthy,1,0,0
Avocado 1407,Anthracnose,0,0,1
Avocado 1408,Scab,0,1,0
Avocado 1409,Healthy,1,0,0
Avocado 1410,Healthy,1,0,0
Avocado 1411,Healthy,1,0,0
Avocado 1412,Anthracnose,0,0,1
Avocado 1413,Healthy,1,0,0
Avocado 1414,Healthy,1,0,0
Avocado 1415,Healthy,1,0,0
Avocado 1416,Healthy,1,0,0
Avocado 1417,Healthy,1,0,0
Avocado 1418,Healthy,1,0,0
Avocado 1419,Healthy,1,0,0
Avocado 1420,Healthy,1,0,0
Avocado 1421,Scab,0,1,0
Avocado 1422,Healthy,1,0,0
Avocado 1423,Anthracnose,0,0,1
Avocado 1424,Healthy,1,0,0
Avocado 1425,Healthy,1,0,0
Avocado 1426,Healthy,1,0,0
Avocado 1427,Healthy,1,0,0
Avocado 1428,Healthy,1,0,0
Avocado 1429,Healthy,1,0,0
Avocado 1430,Healthy,1,0,0
Avocado 1431,Anthracnose,0,0,1
Avocado 1432,Healthy,1,0,0
Avocado 1433,Healthy,1,0,0
Avocado 1434,Healthy,1,0,0
Avocado 1435,Healthy,1,0,0
Avocado 1436,Healthy,1,0,0
Avocado 1437,Healthy,1,0,0
Avocado 1438,Healthy,1,0,0
Avocado 1439,Healthy,1,0,0
Avocado 1440,Healthy,1,0,0
Avocado 1441,Scab,0,1,0
Avocado 1442,Anthracnose,0,0,1
Avocado 1443,Healthy,1,0,0
Avocado 1444,Healthy,1,0,0
Avocado 1445,Healthy,1,0,0
Avocado 1446,Healthy,1,0,0
Avocado 1447,Healthy,1,0,0
Avocado 1448,Scab,0,1,0
Avocado 1449,Healthy,1,0,0
Avocado 1450,Healthy,1,0,0
Avocado 1451,Scab,0,1,0
Avocado 1452,Scab,0,1,0
Avocado 1453,Anthracnose,0,0,1
Avocado 1454,Healthy,1,0,0
Avocado 1455,Healthy,1,0,0
Avocado 1456,Healthy,1,0,0
